Name,Accuracy,Damage,Defense,Description,Type,Rank,FixedDrop
Mage’s Staff,10,3,,A magical staff enchanted to fire balls of energy. Highly accurate but strong creatures can shrug off the blasts.,Weapon,5,0
Battlemage Staff,10,6,,A powerful staff enchanted with war magic. Fires bolts of mana.,Weapon,7,0
Kunai,5,2,,Trowel-shaped daggers that can be thrown with high accuracy. Favored by Eastern assassins.,Weapon,5,0
Lensman Armillary,10,10,,"A floating metal orb controlled by a wrist brace, which syncronizes with the user’s thoughts. Fires beams of light.",Weapon,10,0
Power Glove,5,6,,"A magical, metal glove of ancient construction. Enchanted with battle magic, it allows the user to strike swift, damaging blows.",Weapon,8,0
Archaic Carbine,10,10,,A rifle-like device of ancient construction. Fires piercing beams of energy.,Weapon,9,0
Mana Manifold,10,12,,"Magical, floating cubes that encircle the user’s hand. Harnesses occult power to project a devastating beam of magical force.",Weapon,10,0
Chakram,10,7,,"A magical ring of psionic energy, telepathically controlled. Can be flung at opponents to deadly effect.",Weapon,10,0
Book of Power,infinite,10,,"A magical grimoire, enchanted to damage enemies purely by recitation. Thus, it cannot be dodged.",Weapon,10,0
Sapien Cannon,1,infinite,,"A large, shoulder mounted siege weapon. Highly inaccurate but capable of killing any living creature should they find themselves struck by its beam.",Weapon,10,0
Buckler,,,1,"A small metal disk affixed to the forearm. Primarily meant to parry small arms, its defense is negligible.",Shield,1,0
Kite Shield,,,10,A standard knight’s shield. Provides decent coverage of the limbs and torse for solid defense.,Shield,1,0
Tower Shield,-2,,20,A huge steel shield nearly the length of a man. Provides superb defense but impairs one’s accuracy.,Shield,3,0
Monument Shield,-6,,40,A colossal stone shield graven with a Dwarven visage. Favored by the Dwarves but largely ceremonial as its weight is extremely cumbersome.,Shield,6,0
Woven Shield,,,5,A wicker shield favored by men of the East. Light and sturdy. Able to impart considerable defense although its weak material construction undermines its efficacy.,Shield,4,0
Orrery Shield,-1,,17,Enchanted orbs encircle the user’s arm and move to intercept incoming strikes. Highly effective although coordinating one’s movements to theirs is sometimes difficult.,Shield,8,0
Phase Shield,,,30,"An ancient shield of a bygone era. Normally the size of a buckler. When activated, a green barrier of energy emerges that negates attacks.",Shield,9,0
Hyper Shield,-10,,50,"A purely defensive device, affixed to the user’s arm. It generates a force field around the bearer but such coverage greatly impedes attacks. Used by the ancient men who walk the stars.",Shield,10,0
Turtle Shell,-5,,30,"The shell of some large animal, remade into a shield. Due to its curvature, it impedes attacks although the hide is quite durable.",Shield,9,0
Spiked Shield,-1,3,5,"A spiked, weaponized shield used by gladiators. Contributes to the user’s offense although it is meant for bloodsport and thus provides little coverage.",Shield,4,0
Rations,,,,Simple trail rations. Restores 5 HP.,Item,1,0
Potion,,,,An enchanted healing draught. Restores 10 HP.,Item,1,0
High Potion,,,,An effective healing draught. Restores 20 HP.,Item,2,0
Ex Potion,,,,An extremely effective draught. Restores 50 HP.,Item,4,0
Antidote,,,,An alchemical concoction that cures poison.,Item,2,0
Mana Essence,,,,Ambient magical energy condensed into a sphere. Restores 10 MP.,Item,1,0
Mana Flux,,,,Ambient magical energy condensed into fine wires. Restores 30 MP.,Item,3,0
Mana Crystal,,,,Highly condensed magical energy. Restores 100 MP.,Item,5,0
Scroll of Enchantment,,,,"A magical scroll, common among Dwarven scholars. Adds +1 enchantment to the selected weapon or shield.",Item,6,0
Voodoo Doll,,,,"Necromantic doll attuned to the user’s life force. If the user would be killed, the doll is sacrificed instead.",Item,7,0
Beacon,,,,"Use this to reveal the location of a descending stair case. However, it does not reveal how to get there.",Item,1,0
Terror Horn,,,,Blow this horn to frighten away lesser creatures. Instantly kills creatures below level 5 but you receive no experience.,Item,6,0
Coin Purse,,,,A bag of golden coinage. Does nothing but holding it increases your score.,Item,5,0
Bindor’s Deceit,,,,"A fragile pod that you snap, creating enchanted smoke. Negates the enemy’s next attack.",Item,3,0
Jethry’s Numenon,,,,A magical plate with numbers etched into it. Reveals the position of enemies on the floor.,Item,5,0
Beserker Phial,,,,Drinking this grants +5 damage on the next 5 attacks.,Item,6,0
Behelit,,,,"Use to instantly transit to the next floor. However, you permanently lose 5 HP.",Item,9,0
The Omatrix,,,,Obtain this to win the game. Instantly generates an ascending staircase. Fight your way to the staircase to leave the dungeon!,Item,10,1
Leather Armor,,,5,Simple leather vestments. Provides a minimum of protection.,Armor,1,0
Patchwork Armor,,,6,Armor cobbled together from other pieces. Often worn by desert wanderers.,Armor,1,0
Bone Armor,,,7,Primitive mail derived from the bones of some huge creature. Worn primarily by orcs.,Armor,2,0
Chainmail,,,10,A suit of linked metal rings providing superb defense against mundane threats.,Armor,3,0
Splint Mail,,,11,An exotic suit comprised of flexile metal plates. ,Armor,4,0
Samurai Armor,,,12,"Exceedingly rare armor forged in an Eastern land. Simple wooden plates are lacquered with enchanted paint, making it provide tremendous defense with no expense to dexterity.",Armor,6,0
Cuirass,,,14,A metal breastplate together with chainmail trappings.,Armor,4,0
Full Plate,,,20,"A full suit of armor, including gauntlets and leg armor. An exceptionally rare find in the dungeon.",Armor,6,0
Lensman Garb,,,25,"A strange, lightweight bodysuit that nevertheless can deflect strong blows.",Armor,7,0
Patrol Vestments,,,27,Lensman clothing with the addition of a vest and boots.,Armor,8,0
Power Armor,,,40,An archaic relic of a bygone era. Unknown mechanics assist in movement.,Armor,9,0
Elven mail,,,35,"Lightweight, enchanted mail forged by Elves.",Armor,8,0
Eschatological Armor,,,45,Armor prophesied to be worn by a messiah. Heavily enchanted for superior defense.,Armor,10,0
Crystal Armor,,,50,Gleaming armor crafted from magical crystals. Provides unassailable defense.,Armor,10,0
Leather Helm,,,1,A simple piece of headwear that protects the scalp and jaw.,Helmet,1,0
Scout Helm,,,3,A leather helm with an added metal veil.,Helmet,1,0
Iron Helm,,,5,"A generic metal helmet, providing better cranial protection.",Helmet,2,0
Beast Helm,,,6,"A primitive hide wrapped over the head, complete with the skull of a huge beast. Worn by orcs.",Helmet,3,0
Templar Helm,,,10,Affectionately called a “bucket helm.” Favored amongst clerics.,Helmet,3,0
Full Helm,,,12,A well-crafted steel helmet that protects the face and is commonly paired with full plate.,Helmet,5,0
Elven Circlet,,,10,A magical circlet worn by Elves.,Helmet,4,0
Lensman Scouter,5,,2,A rare piece of gear worn by an ancient race. The read-out it displays aids the user’s accuracy.,Helmet,7,0
Power Helm,,,20,A mechanical helmet meant to be paired with Power Armor.,Helmet,9,0
Samurai Helm,,,12,An ornate wooden lacquered helmet cherished by Eastern men.,Helmet,6,0
Berserker Helm,1,5,10,A horned helm worn by Dwarven berserkers. Impels one to violence and destruction.,Helmet,6,0
Phase Helm,,,15,A circlet that projects an invisible barrier about the head.,Helmet,8,0
Eschatological Circlet,,,25,A golden crown worn by a prophesied being.,Helmet,10,0
Crystal Helm,,,30,An exquisite crystalline helmet providing superb defense.,Helmet,10,0
Barrier Talisman,,,1,An amulet enchanted to provide slight defense.,Amulet,3,0
Amulet of Health,,,,An amulet that adds +5 HP,Amulet,5,0
Mana Amulet,,,,A wizard’s necklace that adds +10 MP,Amulet,5,0
Amulet of Accuracy,10,,,An amulet enchanted by Elves to improve accuracy.,Amulet,6,0
Amulet of Destruction,,10,,An amulet enchanted to increase the user’s destructiveness.,Amulet,6,0
Phase Amulet,,,,"A necklace that, when worn, has a 5% chance to negate an attack.",Amulet,7,0
Lucid Crystal,,,5,"In addition to providing a modicum of defense, this amulet prevents the user from being poisoned.",Amulet,4,0
War Crest,,5,,"In addition to improving the bearer’s aggression, this crest allows the bearer to attack twice (doubling damage).",Amulet,8,0
Mana Font,,,,A magical seed of incomprehensible power. Makes spells cost nothing.,Amulet,10,0
